code,name,sector,price,market_cap,pe_ratio,pb_ratio,psr,dividend_yield,p_vpa,ffo_yield,vacancy_rate,payout_ratio,current_ratio,debt_to_equity,property_count
ILPT,"Industrial Logistics Properties Trust Common Shares of Beneficial Interest","Industrial / Logística",7.51,501261566,18.50,1.05,8.33,3.80,1.05,5.41,3.20,75.00,1.35,0.85,250
OLP,"One Liberty Properties","Diversificado / Outros",22.76,496737546,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
RWT,"Redwood Trust","Florestal & Madeira",3.81,478583366,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
XRN,"Chiron Real Estate","Diversificado / Outros",36.02,476760447,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
FPI,"Farmland Partners","Diversificado / Outros",10.80,471429951,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
FVR,"FrontView","Diversificado / Outros",17.80,435315963,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
LAND,"Gladstone Land Corporation","Diversificado / Outros",9.61,414542467,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
CHCT,"Community Healthcare Trust Incorporated","Saúde & Hospitais",14.31,410179748,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
KREF,"KKR Real Estate Finance Trust","Mortgage / mREIT",6.42,375777536,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
TCI,"Transcontinental Realty Investors","Diversificado / Outros",40.85,358416470,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
AIV,"Apartment Investment and Management Company","Residencial",2.13,308628408,16.00,0.98,7.20,4.20,0.98,6.25,4.00,70.00,1.35,0.85,120
NREF,"NexPoint Real Estate Finance","Mortgage / mREIT",16.00,301568464,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
PINE,"Alpine Income Property Trust","Diversificado / Outros",17.06,300609347,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
REFI,"Chicago Atlantic Real Estate Finance","Mortgage / mREIT",10.78,276067848,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
NXDT,"NexPoint Diversified Real Estate Trust","Diversificado / Outros",5.15,273496039,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
BRT,"BRT Apartments Corp. (MD)","Residencial",14.10,264985206,16.00,0.98,7.20,4.20,0.98,6.25,4.00,70.00,1.35,0.85,120
RC,"Ready Capital Corporation","Mortgage / mREIT",1.58,261001767,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
ACRE,"Ares Commercial Real Estate Corporation","Diversificado / Outros",4.38,242729869,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
MITT,"TPG Mortgage Investment Trust","Mortgage / mREIT",6.32,200994782,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
STRW,"Strawberry Fields","Diversificado / Outros",13.60,192539770,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
AOMR,"Angel Oak Mortgage","Mortgage / mREIT",7.81,181308189,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
SEVN,"Seven Hills Realty Trust","Diversificado / Outros",7.31,165635649,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
EARN,"Ellington Credit Company Common Shares of Beneficial Interest","Mortgage / mREIT",4.26,160189967,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
SITC,"SITE Centers Corp.","Diversificado / Outros",3.01,157950770,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
NLOP,"Net Lease Office Properties Common Shares of Beneficial Interest","Escritórios Corporativos",10.45,154807084,9.80,0.72,4.41,6.20,0.72,10.20,12.50,65.00,1.35,0.85,85
ELME,"Elme Communities","Residencial",1.73,153724138,16.00,0.98,7.20,4.20,0.98,6.25,4.00,70.00,1.35,0.85,120
ONL,"Orion Properties","Diversificado / Outros",2.52,143467456,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
CHMI,"Cherry Hill Mortgage Investment Corporation","Mortgage / mREIT",2.82,104158398,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
SUNS,"Sunrise Realty Trust","Diversificado / Outros",7.63,103125943,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
ACR,"ACRES Commercial Realty Corp.","Diversificado / Outros",12.24,91536375,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
RPT,"Rithm Property Trust","Diversificado / Outros",11.06,85964558,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
IOR,"Income Opportunity Realty Investors","Diversificado / Outros",18.11,73638484,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
SELF,"Global Self Storage","Self-Storage",5.07,57906599,16.50,1.10,7.42,4.30,1.10,6.06,7.00,75.00,1.35,0.85,850
CLPR,"Clipper Realty","Diversificado / Outros",3.42,55258876,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
LOAN,"Manhattan Bridge Capital","Mortgage / mREIT",3.91,44673740,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
BHM,"Bluerock Homes Trust Inc. Class A","Residencial",8.42,34589596,16.00,0.98,7.20,4.20,0.98,6.25,4.00,70.00,1.35,0.85,120
LFT,"Lument Finance Trust","Mortgage / mREIT",5.40,28342510,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
WHLRD,"Wheeler Real Estate Investment Trust Inc. Series D Cumulative Preferred Stock","Diversificado / Outros",35.52,20182855,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
NYC,"American Strategic Investment Co. Class A","Diversificado / Outros",6.00,18981792,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
MDRR,"Medalist Diversified","Diversificado / Outros",11.01,17933042,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
AHT,"Ashford Hospitality Trust","Hotéis & Lazer",2.60,16821516,10.50,0.85,4.73,4.80,0.85,9.52,26.00,55.00,1.35,0.85,65
IHT,"InnSuites Hospitality Trust Shares of Beneficial Interest","Hotéis & Lazer",1.46,16387871,10.50,0.85,4.73,4.80,0.85,9.52,26.00,55.00,1.35,0.85,65
SQFTP,"Presidio Property Trust Inc. 9.375% Series D Cumulative Redeemable Perpetual Preferred Stock $0.01 par value per share","Diversificado / Outros",6.53,9366841,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
CMCT,"Creative Media & Community Trust Corporation","Residencial",2.42,7132933,16.00,0.98,7.20,4.20,0.98,6.25,4.00,70.00,1.35,0.85,120
WHLRP,"Wheeler Real Estate Investment Trust Inc. Class B Preferred Stock","Diversificado / Outros",9.45,5369594,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
WHLR,"Wheeler Real Estate Investment Trust","Diversificado / Outros",7.18,4079755,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
MKZR,"MacKenzie Realty Capital","Mortgage / mREIT",1.36,3773298,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
PW,"Power","Diversificado / Outros",6.92,2540470,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
SQFT,"Presidio Property Trust Inc. Class A","Diversificado / Outros",1.35,1936483,13.00,0.95,5.85,5.00,0.95,7.69,5.50,74.00,1.35,0.85,150
CIMO,"Chimera Investment Corporation 9.250% Senior Notes due 2029","Saúde & Hospitais",25.34,0,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
CIMP,"Chimera Investment Corporation 8.875% Senior Notes due 2030","Saúde & Hospitais",25.10,0,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
AOMD,"Angel Oak Mortgage","Mortgage / mREIT",25.30,0,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
RWTP,"Redwood Trust Inc. 9.125% Senior Notes Due 2030","Saúde & Hospitais",23.00,0,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
RWTQ,"Redwood Trust Inc. 9.500% Senior Notes Due 2030","Saúde & Hospitais",21.53,0,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
RWTS,"Redwood Trust Inc. 9.75% Senior Notes Due 2031","Saúde & Hospitais",21.85,0,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
AOMN,"Angel Oak Mortgage","Mortgage / mREIT",25.38,0,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
ADAMG,"Adamas Trust Inc. 9.125% Senior Notes Due 2030","Saúde & Hospitais",25.00,0,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
ADAMK,"Adamas Trust Inc. 9.600% Senior Notes Due 2031","Saúde & Hospitais",25.09,0,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
ADAMH,"Adamas Trust Inc. 9.875% Senior Notes Due 2030","Saúde & Hospitais",25.15,0,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
ADAMO,"Adamas Trust Inc. 9.250% Senior Notes Due 2031","Saúde & Hospitais",24.93,0,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
RCD,"Ready Capital Corporation 9.00% Senior Notes due 2029","Saúde & Hospitais",23.25,0,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
ELLA,"Ellington Credit Company 8.50% Notes due 2031","Mortgage / mREIT",25.01,0,8.50,0.88,3.83,11.50,0.88,11.76,0.00,92.00,1.35,0.85,0
PMTV,"PennyMac Mortgage Investment Trust 9.00% Senior Notes due 2030","Saúde & Hospitais",25.39,0,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
PMTW,"PennyMac Mortgage Investment Trust 9.00% Senior Notes due 2030","Saúde & Hospitais",25.23,0,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
TWOD,"Two Harbors Investments Corp 9.375% Senior Notes due 2030","Saúde & Hospitais",26.28,0,14.00,1.00,6.30,5.20,1.00,7.14,6.00,78.00,1.35,0.85,320
